Company,Model,proportion_overshoots,LRuc,LRcci,LRcc
ADANIENT.NS,historical,0.9758064516129032,inf,1.1400452923015334,inf
ADANIENT.NS,CMM,0.9758064516129032,inf,1.1400452923015334,inf
ADANIENT.NS,GARCH,0.9778225806451613,inf,0.5000430529730013,inf
ADANIENT.NS,LSTM_MDN_vanilla,0.0,9.969933166673494,-0.0,9.969933166673494
ADANIENT.NS,LSTM_MDN_reg,0.006048387096774193,0.9110522944538552,0.036585592565904115,0.9476378870197593
ADANIENT.NS,LSTM_MDN_3C,0.0,9.969933166673494,-0.0,9.969933166673494
ADANIPORTS.NS,historical,0.9919354838709677,inf,0.06517383700743783,inf
ADANIPORTS.NS,CMM,0.9838709677419355,inf,0.26284549777528127,inf
ADANIPORTS.NS,GARCH,0.9818548387096774,inf,0.33335238792103744,inf
ADANIPORTS.NS,LSTM_MDN_vanilla,0.0,9.969933166673494,-0.0,9.969933166673494
ADANIPORTS.NS,LSTM_MDN_reg,0.0,9.969933166673494,-0.0,9.969933166673494
ADANIPORTS.NS,LSTM_MDN_3C,0.0,9.969933166673494,-0.0,9.969933166673494
TATASTEEL.NS,historical,0.9818548387096774,inf,2.112524891926282,inf
TATASTEEL.NS,CMM,0.9737903225806451,inf,0.9028186771281299,inf
TATASTEEL.NS,GARCH,0.9737903225806451,inf,0.9028186771281299,inf
TATASTEEL.NS,LSTM_MDN_vanilla,0.0,9.969933166673494,-0.0,9.969933166673494
TATASTEEL.NS,LSTM_MDN_reg,0.0,9.969933166673494,-0.0,9.969933166673494
TATASTEEL.NS,LSTM_MDN_3C,0.0,9.969933166673494,-0.0,9.969933166673494
COALINDIA.NS,historical,0.9737903225806451,inf,4.214871754279705,inf
COALINDIA.NS,CMM,0.9778225806451613,inf,5.510150875728939,inf
COALINDIA.NS,GARCH,0.9737903225806451,inf,4.214871754279705,inf
COALINDIA.NS,LSTM_MDN_vanilla,0.0,9.969933166673494,-0.0,9.969933166673494
COALINDIA.NS,LSTM_MDN_reg,0.0,9.969933166673494,-0.0,9.969933166673494
COALINDIA.NS,LSTM_MDN_3C,0.0,9.969933166673494,-0.0,9.969933166673494
TECHM.NS,historical,0.9899193548387096,inf,0.10204258720440236,inf
TECHM.NS,CMM,0.9858870967741935,inf,0.20082655940236416,inf
TECHM.NS,GARCH,0.9919354838709677,inf,0.06517383700743783,inf
TECHM.NS,LSTM_MDN_vanilla,0.0,9.969933166673494,-0.0,9.969933166673494
TECHM.NS,LSTM_MDN_reg,0.0,9.969933166673494,-0.0,9.969933166673494
TECHM.NS,LSTM_MDN_3C,0.0,9.969933166673494,-0.0,9.969933166673494
HDFCLIFE.NS,historical,0.9959677419354839,inf,0.01622722503771488,inf
HDFCLIFE.NS,CMM,0.9838709677419355,inf,0.26284549777528127,inf
HDFCLIFE.NS,GARCH,0.9858870967741935,inf,0.20082655940236416,inf
HDFCLIFE.NS,LSTM_MDN_vanilla,0.0,9.969933166673494,-0.0,9.969933166673494
HDFCLIFE.NS,LSTM_MDN_reg,0.0,9.969933166673494,-0.0,9.969933166673494
HDFCLIFE.NS,LSTM_MDN_3C,0.0,9.969933166673494,-0.0,9.969933166673494
SBILIFE.NS,historical,0.9919354838709677,inf,0.06517383700743783,inf
SBILIFE.NS,CMM,0.9879032258064516,inf,0.1472429585389323,inf
SBILIFE.NS,GARCH,0.9858870967741935,inf,3.0713817503633503,inf
SBILIFE.NS,LSTM_MDN_vanilla,0.0,9.969933166673494,-0.0,9.969933166673494
SBILIFE.NS,LSTM_MDN_reg,0.0,9.969933166673494,-0.0,9.969933166673494
SBILIFE.NS,LSTM_MDN_3C,0.0,9.969933166673494,-0.0,9.969933166673494
GRASIM.NS,historical,0.9919354838709677,inf,0.06517383700743783,inf
GRASIM.NS,CMM,0.9879032258064516,inf,0.1472429585389323,inf
GRASIM.NS,GARCH,0.9879032258064516,inf,0.1472429585389323,inf
GRASIM.NS,LSTM_MDN_vanilla,0.0,9.969933166673494,-0.0,9.969933166673494
GRASIM.NS,LSTM_MDN_reg,0.0,9.969933166673494,-0.0,9.969933166673494
GRASIM.NS,LSTM_MDN_3C,0.006048387096774193,0.9110522944538552,0.036585592565904115,0.9476378870197593
BAJAJFINSV.NS,historical,0.9717741935483871,inf,0.815083922268976,inf
BAJAJFINSV.NS,CMM,0.9778225806451613,inf,0.5000430529730013,inf
BAJAJFINSV.NS,GARCH,0.9818548387096774,inf,0.33335238792103744,inf
BAJAJFINSV.NS,LSTM_MDN_vanilla,0.0,9.969933166673494,-0.0,9.969933166673494
BAJAJFINSV.NS,LSTM_MDN_reg,0.0,9.969933166673494,-0.0,9.969933166673494
BAJAJFINSV.NS,LSTM_MDN_3C,0.0,9.969933166673494,-0.0,9.969933166673494
CIPLA.NS,historical,0.9858870967741935,inf,0.20082655940236416,inf
CIPLA.NS,CMM,0.9838709677419355,inf,0.26284549777528127,inf
CIPLA.NS,GARCH,0.9838709677419355,inf,0.26284549777528127,inf
CIPLA.NS,LSTM_MDN_vanilla,0.0,9.969933166673494,-0.0,9.969933166673494
CIPLA.NS,LSTM_MDN_reg,0.0,9.969933166673494,-0.0,9.969933166673494
CIPLA.NS,LSTM_MDN_3C,0.0,9.969933166673494,-0.0,9.969933166673494
DRREDDY.NS,historical,0.9939516129032258,inf,0.03658559256587064,inf
DRREDDY.NS,CMM,0.9939516129032258,inf,0.03658559256587064,inf
DRREDDY.NS,GARCH,0.9939516129032258,inf,0.03658559256587064,inf
