Company,Model,proportion_overshoots,LRuc,LRcci,LRcc
EICHERMOT.NS,CMM,0.9716599190283401,inf,0.8184881630202259,inf
EICHERMOT.NS,GARCH,0.9757085020242915,inf,0.598814725217979,inf
EICHERMOT.NS,LSTM_MDN_vanilla,0.0,9.929731823259488,-0.0,9.929731823259488
EICHERMOT.NS,LSTM_MDN_reg,0.0,9.929731823259488,-0.0,9.929731823259488
EICHERMOT.NS,LSTM_MDN_3C,0.0,9.929731823259488,-0.0,9.929731823259488
DIVISLAB.NS,historical,0.979757085020243,inf,0.41410826269060097,inf
DIVISLAB.NS,CMM,0.9858299595141701,inf,0.20165306318935927,inf
DIVISLAB.NS,GARCH,0.9817813765182186,inf,0.33473003560261033,inf
DIVISLAB.NS,LSTM_MDN_vanilla,0.0,9.929731823259488,-0.0,9.929731823259488
DIVISLAB.NS,LSTM_MDN_reg,0.0,9.929731823259488,-0.0,9.929731823259488
DIVISLAB.NS,LSTM_MDN_3C,0.0,9.929731823259488,-0.0,9.929731823259488
HINDALCO.NS,historical,0.9898785425101214,inf,0.10246080913437253,inf
HINDALCO.NS,CMM,0.9858299595141701,inf,0.20165306318935927,inf
HINDALCO.NS,GARCH,0.9898785425101214,inf,0.10246080913437253,inf
HINDALCO.NS,LSTM_MDN_vanilla,0.018218623481781375,2.711264745425193,0.33473003560257564,3.0459947810277685
HINDALCO.NS,LSTM_MDN_reg,0.0,9.929731823259488,-0.0,9.929731823259488
HINDALCO.NS,LSTM_MDN_3C,0.0,9.929731823259488,-0.0,9.929731823259488
BRITANNIA.NS,historical,0.9757085020242915,inf,0.598814725217979,inf
BRITANNIA.NS,CMM,0.9736842105263158,inf,0.7042527771242376,inf
BRITANNIA.NS,GARCH,0.9757085020242915,inf,0.598814725217979,inf
BRITANNIA.NS,LSTM_MDN_vanilla,0.0,9.929731823259488,-0.0,9.929731823259488
BRITANNIA.NS,LSTM_MDN_reg,0.0,9.929731823259488,-0.0,9.929731823259488
BRITANNIA.NS,LSTM_MDN_3C,0.0,9.929731823259488,-0.0,9.929731823259488
BPCL.NS,historical,0.9838056680161943,inf,2.544412289000981,inf
BPCL.NS,CMM,0.9817813765182186,inf,0.33473003560261033,inf
BPCL.NS,GARCH,0.9838056680161943,inf,0.26392949485256517,inf
BPCL.NS,LSTM_MDN_vanilla,0.0,9.929731823259488,-0.0,9.929731823259488
BPCL.NS,LSTM_MDN_reg,0.0,9.929731823259488,-0.0,9.929731823259488
BPCL.NS,LSTM_MDN_3C,0.0,9.929731823259488,-0.0,9.929731823259488
UPL.NS,historical,0.979757085020243,inf,0.41410826269060097,inf
UPL.NS,CMM,0.9817813765182186,inf,0.33473003560261033,inf
UPL.NS,GARCH,0.979757085020243,inf,0.41410826269060097,inf
UPL.NS,LSTM_MDN_vanilla,0.0,9.929731823259488,-0.0,9.929731823259488
UPL.NS,LSTM_MDN_reg,0.0,9.929731823259488,-0.0,9.929731823259488
UPL.NS,LSTM_MDN_3C,0.0,9.929731823259488,-0.0,9.929731823259488
INDUSINDBK.NS,historical,0.9696356275303644,inf,0.9415771662813722,inf
INDUSINDBK.NS,CMM,0.9777327935222672,inf,0.5021182800005775,inf
INDUSINDBK.NS,GARCH,0.9838056680161943,inf,0.26392949485256517,inf
INDUSINDBK.NS,LSTM_MDN_vanilla,0.0,9.929731823259488,-0.0,9.929731823259488
INDUSINDBK.NS,LSTM_MDN_reg,0.0,9.929731823259488,-0.0,9.929731823259488
INDUSINDBK.NS,LSTM_MDN_3C,0.0,9.929731823259488,-0.0,9.929731823259488
HEROMOTOCO.NS,historical,0.9736842105263158,inf,0.7042527771242376,inf
HEROMOTOCO.NS,CMM,0.9757085020242915,inf,0.598814725217979,inf
HEROMOTOCO.NS,GARCH,0.9736842105263158,inf,0.7042527771242376,inf
HEROMOTOCO.NS,LSTM_MDN_vanilla,0.0,9.929731823259488,-0.0,9.929731823259488
HEROMOTOCO.NS,LSTM_MDN_reg,0.010121457489878543,0.0007331737036533367,0.10246080913440103,0.10319398283805437
HEROMOTOCO.NS,LSTM_MDN_3C,0.0,9.929731823259488,-0.0,9.929731823259488
APOLLOHOSP.NS,historical,0.9696356275303644,inf,3.168055522777077,inf
APOLLOHOSP.NS,CMM,0.965587044534413,inf,5.728787303635903,inf
APOLLOHOSP.NS,GARCH,0.9676113360323887,inf,1.073576634047338,inf
APOLLOHOSP.NS,LSTM_MDN_vanilla,0.0,9.929731823259488,-0.0,9.929731823259488
APOLLOHOSP.NS,LSTM_MDN_reg,0.0,9.929731823259488,-0.0,9.929731823259488
APOLLOHOSP.NS,LSTM_MDN_3C,0.0,9.929731823259488,-0.0,9.929731823259488
SHREECEM.NS,historical,0.979757085020243,inf,0.41410826269060097,inf
SHREECEM.NS,CMM,0.9817813765182186,inf,0.33473003560261033,inf
SHREECEM.NS,GARCH,0.979757085020243,inf,0.41410826269060097,inf
SHREECEM.NS,LSTM_MDN_vanilla,0.0,9.929731823259488,-0.0,9.929731823259488
SHREECEM.NS,LSTM_MDN_reg,0.0,9.929731823259488,-0.0,9.929731823259488
SHREECEM.NS,LSTM_MDN_3C,0.016194331983805668,1.6124055419027312,0.263929494852515,1.8763350367552463
BAJAJ-AUTO.NS,historical,0.9757085020242915,inf,1.1340237577702383,inf
BAJAJ-AUTO.NS,CMM,0.9696356275303644,inf,0.5233879407153834,inf
BAJAJ-AUTO.NS,GARCH,0.9777327935222672,inf,0.5021182800005775,inf
BAJAJ-AUTO.NS,LSTM_MDN_vanilla,0.0,9.929731823259488,-0.0,9.929731823259488
BAJAJ-AUTO.NS,LSTM_MDN_reg,0.0,9.929731823259488,-0.0,9.929731823259488
BAJAJ-AUTO.NS,LSTM_MDN_3C,0.0,9.929731823259488,-0.0,9.929731823259488
HAVELLS.NS,historical,0.9939271255060729,inf,0.036734923377205415,inf
HAVELLS.NS,CMM,0.9838056680161943,inf,0.26392949485256517,inf
HAVELLS.NS,GARCH,0.9838056680161943,inf,0.26392949485256517,inf
HAVELLS.NS,LSTM_MDN_vanilla,0.0,9.929731823259488,-0.0,9.929731823259488
HAVELLS.NS,LSTM_MDN_reg,0.0,9.929731823259488,-0.0,9.929731823259488
HAVELLS.NS,LSTM_MDN_3C,0.0,9.929731823259488,-0.0,9.929731823259488
DABUR.NS,historical,0.9534412955465588,inf,0.7181383804463136,inf
